,station,date,prcp,tobs,NaN Count,Count
126,USC00519397,2010-05-25,0.0,77,False,1
127,USC00519397,2010-05-26,0.02,77,False,1
128,USC00519397,2010-05-27,0.0,76,False,1
129,USC00519397,2010-05-28,0.0,75,False,1
130,USC00519397,2010-05-29,0.0,77,False,1
131,USC00519397,2010-05-30,0.0,77,False,1
132,USC00519397,2010-05-31,0.0,77,False,1
133,USC00519397,2010-06-01,0.0,78,False,1
134,USC00519397,2010-06-02,0.01,76,False,1
135,USC00519397,2010-06-03,0.0,78,False,1
136,USC00519397,2010-06-04,0.0,76,False,1
137,USC00519397,2010-06-05,0.0,77,False,1
138,USC00519397,2010-06-06,0.0,78,False,1
139,USC00519397,2010-06-07,0.0,77,False,1
140,USC00519397,2010-06-08,0.0,78,False,1
141,USC00519397,2010-06-09,0.0,78,False,1
142,USC00519397,2010-06-10,0.0,79,False,1
143,USC00519397,2010-06-11,0.0,78,False,1
144,USC00519397,2010-06-12,0.0,78,False,1
145,USC00519397,2010-06-13,0.0,78,False,1
146,USC00519397,2010-06-14,0.0,77,False,1
147,USC00519397,2010-06-15,0.0,78,False,1
148,USC00519397,2010-06-16,0.0,78,False,1
149,USC00519397,2010-06-17,0.0,77,False,1
150,USC00519397,2010-06-18,0.0,77,False,1
151,USC00519397,2010-06-19,0.0,82,False,1
152,USC00519397,2010-06-20,0.0,78,False,1
153,USC00519397,2010-06-21,0.0,78,False,1
154,USC00519397,2010-06-22,0.0,78,False,1
155,USC00519397,2010-06-23,0.0,78,False,1
156,USC00519397,2010-06-24,0.0,78,False,1
157,USC00519397,2010-06-25,0.0,77,False,1
158,USC00519397,2010-06-26,0.02,76,False,1
159,USC00519397,2010-06-27,0.0,78,False,1
160,USC00519397,2010-06-28,0.0,78,False,1
161,USC00519397,2010-06-29,0.0,78,False,1
162,USC00519397,2010-06-30,0.0,78,False,1
163,USC00519397,2010-07-01,0.01,75,False,1
164,USC00519397,2010-07-02,0.05,77,False,1
